Timestamp,Label,Risk Score,X1,Y1,X2,Y2
0.00,car,0.47,224,220,387,290
0.00,car,0.10,0,227,141,300
0.00,truck,0.11,470,206,548,272
0.00,car,0.05,133,224,186,266
0.00,car,0.02,182,223,210,254
0.00,person,0.00,622,227,636,261
0.00,traffic light,0.01,416,57,432,90
0.00,car,0.02,203,239,223,267
0.00,truck,0.10,408,193,453,257
0.03,car,0.11,0,227,152,299
0.03,truck,0.11,470,206,548,273
0.03,car,0.53,222,220,400,290
0.03,car,0.02,182,223,210,254
0.03,car,0.05,133,224,186,266
0.03,person,0.00,622,226,636,261
0.03,car,0.02,204,238,224,266
0.03,traffic light,0.01,416,57,432,90
0.03,truck,0.09,407,193,453,252
0.07,car,0.12,0,227,158,299
0.07,truck,0.11,470,206,548,273
0.07,car,0.58,221,220,412,291
0.07,car,0.02,182,223,210,254
0.07,car,0.05,130,224,185,267
0.07,person,0.00,622,226,636,261
0.07,traffic light,0.01,416,57,432,90
0.07,truck,0.09,410,193,453,254
0.07,car,0.02,203,232,227,267
0.10,car,0.13,0,227,160,300
0.10,car,0.58,221,219,410,291
0.10,truck,0.11,470,206,548,273
0.10,car,0.02,182,223,210,254
0.10,car,0.05,134,224,185,265
0.10,person,0.00,622,226,637,261
0.10,traffic light,0.01,416,57,432,90
0.10,person,0.26,384,213,436,293
0.10,car,0.02,203,234,224,267
0.13,car,0.54,225,220,404,291
0.13,car,0.13,0,227,164,300
0.13,truck,0.11,470,206,548,272
0.13,car,0.02,182,223,211,254
0.13,person,0.00,622,225,636,261
0.13,car,0.05,134,223,186,263
0.13,person,0.22,389,213,436,289
0.13,traffic light,0.01,416,57,432,90
0.13,car,0.02,203,235,225,267
0.17,car,0.54,224,220,406,290
0.17,car,0.15,0,227,172,301
0.17,truck,0.11,470,206,548,273
0.17,car,0.02,182,223,211,254
0.17,person,0.00,622,226,637,262
0.17,car,0.04,133,222,185,261
0.17,person,0.22,391,213,437,292
0.17,traffic light,0.01,416,57,432,90
0.17,car,0.08,203,219,258,268
0.20,car,0.54,226,220,407,289
0.20,car,0.15,0,227,174,301
0.20,truck,0.11,469,206,547,273
0.20,car,0.02,182,223,210,254
0.20,person,0.00,622,226,637,261
0.20,car,0.04,134,222,186,261
0.20,person,0.21,398,210,439,296
0.20,traffic light,0.01,416,57,432,90
0.20,car,0.08,203,220,257,269
0.23,car,0.16,0,225,177,300
0.23,car,0.55,227,220,409,290
0.23,truck,0.11,469,206,547,272
0.23,car,0.02,182,223,211,254
0.23,car,0.04,134,222,186,260
0.23,person,0.00,622,226,637,262
0.23,person,0.21,399,209,440,295
0.23,traffic light,0.01,416,57,432,90
0.23,car,0.08,203,221,258,269
0.27,car,0.56,227,220,411,290
0.27,car,0.17,0,225,180,301
0.27,truck,0.11,469,206,547,272
0.27,car,0.04,134,222,186,259
0.27,car,0.02,182,223,210,254
0.27,person,0.01,622,226,638,262
0.27,car,0.02,204,237,230,267
0.27,traffic light,0.01,416,57,432,90
0.27,person,0.20,400,211,442,291
0.30,car,0.54,227,220,409,289
0.30,car,0.16,0,228,183,299
0.30,truck,0.11,469,206,548,273
0.30,car,0.02,182,223,210,254
0.30,car,0.04,134,222,186,259
0.30,person,0.01,622,226,638,262
0.30,person,0.23,401,209,449,291
0.30,traffic light,0.01,416,57,432,90
0.30,car,0.08,203,221,259,268
0.33,car,0.54,229,220,409,289
0.33,car,0.17,0,228,186,299
0.33,truck,0.11,469,206,548,272
0.33,car,0.02,182,223,210,254
0.33,car,0.04,135,222,187,258
0.33,person,0.00,622,227,638,262
0.33,person,0.23,405,207,452,293
0.33,car,0.08,203,221,259,268
0.33,traffic light,0.01,416,57,432,90
0.37,car,0.55,227,220,410,289
